party_id,last_name,first_name,gender,birth_date,dr_lic_num,dr_lic_state,ssn,address_1,address_2,city,state_code,zip_code,bus_phone,home_phone,email_address,otn,party_code
C-1000,LE,KEVIN TAT,,2/25/77,,,,110 WEST FINE DRIVE,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1001,LE,KEVIN TAT,,2/25/77,,,,110 WEST FINE DRIVE,,SLC,UT,84104,,,,,DEF
C-1002,LE,KEVIN TAT,,2/25/77,,,,110 WESTVINE STREET,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1003,SANDERS,TOM,,2/28/83,,,,TRANSIENT,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1004,SANDERS,TOM,,2/28/83,,,,2625 WEST 2988 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1005,TONY,LUIS G,,2/28/84,,,,2625 WEST 2990 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1006,TONY,LUIS GARCIA,,2/28/84,,,,2625 WEST 2990 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1007,LISA,HENDRIX,,8/7/88,,,,8825 WEST 2990 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1008,LISA,HENDRIX,,8/9/88,,,,8825 WEST 2990 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1009,JOE,TATCH,,2/25/77,,,,855 WEST 1353 NORTH,,SALT LAKE CITY,UT,84101,,,,,DEF
C-1010,JOE,TATCH,,2/25/77,,,,855 WEST 1353 NORTH,,SALT LAKE CITY,UT,84102,,,,,DEF
C-1011,MATTHEW,LEESA KIM,,8/10/88,,,,2625 WEST 2888 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1012,MATTHEW,LEESA,,8/10/88,,,,2625 WEST 2888 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1013,BRADY,JEFF,,8/15/88,,,,9899 EAST 2999 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
